date,actual,predicted,raw_delta,absolute_delta,percentage_error,absolute_percentage_error,is_huge_difference
2025-04-07,342.9,372.03787,29.137872314453148,29.137872314453148,8.497483906227224,8.497483906227224,True
2024-12-02,297.7,326.7535,29.053509521484386,29.053509521484386,9.759324662910442,9.759324662910442,True
2025-03-03,398.4,373.00024,-25.399755859374977,25.399755859374977,-6.375440727754763,6.375440727754763,True
2025-02-13,407.4,430.89926,23.499261474609398,23.499261474609398,5.768105418411733,5.768105418411733,True
2025-03-04,409.95,386.70697,-23.24302978515624,23.24302978515624,-5.669723084560614,5.669723084560614,True
2025-02-19,389.9,411.9065,22.006494140625023,22.006494140625023,5.644138020165433,5.644138020165433,True
2025-04-30,384.65,406.45007,21.800073242187523,21.800073242187523,5.667508967161711,5.667508967161711,True
2025-04-03,365.7,385.63834,19.938336181640636,19.938336181640636,5.4521017723928455,5.4521017723928455,True
2024-12-05,332.5,312.8609,-19.63909912109375,19.63909912109375,-5.906495976268797,5.906495976268797,True
2025-06-17,322.3,341.33914,19.039141845703114,19.039141845703114,5.907273299938912,5.907273299938912,True
2024-12-10,321.7,340.1851,18.485089111328136,18.485089111328136,5.74606438026986,5.74606438026986,True
2025-07-15,314.55,296.23022,-18.31977539062501,18.31977539062501,-5.824121885431572,5.824121885431572,True
2025-04-23,398.8,382.9594,-15.840588378906261,15.840588378906261,-3.972063284580306,3.972063284580306,True
2025-03-05,387.15,402.44577,15.295770263671898,15.295770263671898,3.9508640743050236,3.9508640743050236,True
2025-04-08,341.7,356.92206,15.222058105468761,15.222058105468761,4.4548019038538955,4.4548019038538955,True
2025-08-14,334.2,319.06033,-15.139666748046864,15.139666748046864,-4.530121707973329,4.530121707973329,True
2025-08-07,309.35,294.46686,-14.883142089843773,14.883142089843773,-4.811101370565305,4.811101370565305,True
2025-06-04,359.75,344.8965,-14.853485107421875,14.853485107421875,-4.128835332153405,4.128835332153405,True
2025-06-16,332.45,347.2679,14.817913818359386,14.817913818359386,4.457185687579903,4.457185687579903,True
2025-04-14,367.15,352.6494,-14.500585937499977,14.500585937499977,-3.949499097780193,3.949499097780193,True
2025-03-26,378.8,392.9536,14.153613281249989,14.153613281249989,3.736434340351106,3.736434340351106,True
2025-04-15,373.8,359.9039,-13.896099853515636,13.896099853515636,-3.7175227002449533,3.7175227002449533,True
2025-07-14,301.6,288.0402,-13.559808349609398,13.559808349609398,-4.495957675599933,4.495957675599933,True
2025-07-21,296.35,309.74948,13.399481201171852,13.399481201171852,4.521505382544913,4.521505382544913,True
2025-01-21,341.85,328.51035,-13.339654541015648,13.339654541015648,-3.9021952730775626,3.9021952730775626,False
2025-04-10,357.7,345.04364,-12.656359863281239,12.656359863281239,-3.538261074442616,3.538261074442616,False
2025-05-13,373.95,386.3612,12.411206054687511,12.411206054687511,3.318948002323175,3.318948002323175,False
2024-11-06,260.4,248.04778,-12.35222473144529,12.35222473144529,-4.743557884579605,4.743557884579605,True
2024-11-19,295.3,283.23004,-12.069958496093761,12.069958496093761,-4.087354722686679,4.087354722686679,True
2025-04-04,365.7,377.5208,11.820812988281261,11.820812988281261,3.2323798163197326,3.2323798163197326,False
2025-06-19,315.05,326.8496,11.799609374999989,11.799609374999989,3.7453132439295316,3.7453132439295316,False
2025-04-22,385.75,374.08942,-11.66058349609375,11.66058349609375,-3.0228343476587813,3.0228343476587813,False
2025-02-24,375.9,387.55307,11.653070068359398,11.653070068359398,3.100045242979356,3.100045242979356,False
2025-06-24,304.5,316.134,11.634002685546875,11.634002685546875,3.8206905371254103,3.8206905371254103,False
2025-06-30,291.95,303.53384,11.583843994140636,11.583843994140636,3.9677492701286647,3.9677492701286647,True
2024-12-04,315.75,304.28973,-11.46026611328125,11.46026611328125,-3.6295379614509105,3.6295379614509105,False
2025-08-18,349.05,337.67255,-11.377453613281261,11.377453613281261,-3.259548377963404,3.259548377963404,False
2025-05-21,360.75,372.10248,11.35247802734375,11.35247802734375,3.146910056089743,3.146910056089743,False
2025-05-29,342.45,353.58926,11.139263916015636,11.139263916015636,3.2528146929524415,3.2528146929524415,False
2025-08-04,298.7,287.66946,-11.030535888671864,11.030535888671864,-3.692847635979867,3.692847635979867,False
2025-05-27,351.95,362.89243,10.942425537109386,10.942425537109386,3.109085249924531,3.109085249924531,False
2024-11-28,321.65,332.57724,10.927239990234398,10.927239990234398,3.397245450096191,3.397245450096191,False
2025-07-31,284.2,294.63474,10.434735107421886,10.434735107421886,3.671616856939439,3.671616856939439,False
2025-03-06,384.4,394.67358,10.273583984375023,10.273583984375023,2.672628507901931,2.672628507901931,False
2024-11-12,271.65,261.49625,-10.153753662109352,10.153753662109352,-3.737807348466539,3.737807348466539,False
2024-10-01,256.5,266.46774,9.967742919921875,9.967742919921875,3.8860596179032654,3.8860596179032654,False
2024-11-11,263.55,253.63145,-9.918545532226574,9.918545532226574,-3.7634397769784,3.7634397769784,False
2025-02-04,397.75,388.05225,-9.69775390625,9.69775390625,-2.438153087680704,2.438153087680704,False
2025-06-18,322.3,331.92303,9.623034667968739,9.623034667968739,2.985738339425609,2.985738339425609,False
2025-05-28,348.4,357.91013,9.510125732421898,9.510125732421898,2.7296572136687423,2.7296572136687423,False
2024-12-18,323.75,332.95154,9.2015380859375,9.2015380859375,2.842173926158301,2.842173926158301,False
2025-03-18,394.6,385.6862,-8.913812255859398,8.913812255859398,-2.2589488737606174,2.2589488737606174,False
2025-02-11,420.2,411.43597,-8.764025878906239,8.764025878906239,-2.0856796475264727,2.0856796475264727,False
