Date,Price,Open,High,Low,Vol.,Change %
"Feb 15, 2024",190.85,191,191.75,188.15,10.45K,0.0082
"Feb 14, 2024",189.3,188.8,190.6,187.2,8.21K,0.012
"Feb 13, 2024",187.05,192,192,186.65,10.60K,-3.08%
"Feb 12, 2024",193,195.05,197.1,191.65,10.71K,-1.33%
"Feb 11, 2024",195.6,195.35,198.65,192.05,14.81K,-0.36%
"Feb 08, 2024",196.3,190.25,197,190.05,36.01K,0.0397
"Feb 07, 2024",188.8,190.45,190.5,188.35,38.55K,-1.00%
"Feb 06, 2024",190.7,189.4,191.8,188.7,36.79K,0.0133
"Feb 05, 2024",188.2,188.85,189.2,186,24.11K,-0.69%
"Feb 04, 2024",189.5,190.75,192.3,188.5,19.51K,-1.28%
"Feb 01, 2024",191.95,194.2,195.05,190.5,21.29K,-1.16%
"Jan 31, 2024",194.2,193.4,195.3,191.15,25.79K,0.0008
"Jan 30, 2024",194.05,194,195.55,192.05,19.76K,0.0003
"Jan 29, 2024",194,190.1,197.45,189.05,24.47K,0.0251
"Jan 28, 2024",189.25,192.85,194.35,188.65,18.40K,-2.37%
"Jan 25, 2024",193.85,187.2,194.8,186,20.94K,0.0369
"Jan 24, 2024",186.95,189.95,190.5,184.35,22.14K,-1.32%
"Jan 23, 2024",189.45,193.8,195.75,188.1,24.25K,-1.81%
"Jan 22, 2024",192.95,192.25,194.5,188.6,22.04K,0.0036
"Jan 21, 2024",192.25,184.45,193.15,183.5,24.81K,0.0383
"Jan 18, 2024",185.15,182,186.15,181.65,16.74K,0.0289
"Jan 17, 2024",179.95,180.5,182.35,175.55,21.87K,0.0042
"Jan 16, 2024",179.2,184.9,185.15,178.35,21.95K,-3.27%
"Jan 15, 2024",185.25,182,187.1,181.55,19.77K,0.0292
"Jan 11, 2024",180,183.5,186.85,179,22.10K,-2.20%
"Jan 10, 2024",184.05,182.25,187.95,180.95,25.95K,0.016
"Jan 09, 2024",181.15,184.3,184.8,180.4,20.46K,-1.60%
"Jan 08, 2024",184.1,183.95,186.75,182.75,15.66K,0.0149
"Jan 07, 2024",181.4,181.7,183.7,179.5,20.57K,-0.77%
"Jan 04, 2024",182.8,185.85,187.55,182.05,17.96K,-1.48%
"Jan 03, 2024",185.55,186.85,187.6,185.05,11.16K,-0.38%
"Jan 02, 2024",186.25,190.75,191.05,184.8,14.58K,-2.05%
"Jan 01, 2024",190.15,188.65,192.55,188.65,15.07K,0.0098
"Dec 28, 2023",188.3,197.2,198.15,185.65,18.78K,-4.90%
"Dec 27, 2023",198,196.75,201.35,195.15,12.01K,0.0013
"Dec 26, 2023",197.75,194.9,199.95,194.05,16.05K,0.0175
"Dec 25, 2023",194.35,192.8,195.4,191.95,6.73K,0.008
"Dec 21, 2023",192.8,192.2,194.25,189.2,12.28K,-0.41%
"Dec 20, 2023",193.6,190,197.4,188.55,22.63K,0.0157
"Dec 19, 2023",190.6,200.85,202.3,189.6,26.87K,-5.83%
"Dec 18, 2023",202.4,193.2,203.9,191.3,24.39K,-3.41%
"Dec 17, 2023",209.55,189.1,193.85,186.8,14.94K,0.0384
"Dec 14, 2023",201.8,202.25,202.85,201.3,0.05K,0.0085
"Dec 13, 2023",200.1,197.4,202.75,197.4,0.00K,0.028
"Dec 12, 2023",194.65,197.25,197.45,197.25,0.01K,0.0183
"Dec 11, 2023",191.15,188.2,191.3,188.2,0.03K,-1.47%
"Dec 10, 2023",194,193.75,193.75,193.75,0.00K,0.0478
"Dec 07, 2023",185.15,187.25,187.25,187.25,0.00K,-0.19%
"Dec 06, 2023",185.5,189.2,190.6,187.35,0.01K,0.0013
"Dec 05, 2023",185.25,192.45,192.45,185.85,0.01K,-4.44%
"Dec 04, 2023",193.85,188.5,190.3,188.5,0.04K,0.0262
"Dec 03, 2023",188.9,189.55,189.55,186.85,0.02K,-2.58%
"Nov 30, 2023",193.9,185.75,188.5,178.2,49.48K,-0.56%
"Nov 29, 2023",195,182.35,195.7,182.35,0.02K,0.0708
"Nov 28, 2023",182.1,184,184,180.55,0.03K,-0.84%
"Nov 27, 2023",183.65,183.35,183.35,183.3,0.01K,0.022
"Nov 26, 2023",179.7,176.8,182.9,176.8,0.05K,0.0059
"Nov 23, 2023",178.65,177.35,181,177.35,0.14K,0.00%
"Nov 21, 2023",178.65,176.45,179.2,174.5,0.29K,0.0119
"Nov 20, 2023",176.55,176.65,177.9,175.05,0.34K,-0.76%
"Nov 19, 2023",177.9,171.65,179.6,170,5.21K,0.0407
"Nov 16, 2023",170.95,175.85,176.85,170.45,4.41K,-2.92%
"Nov 15, 2023",176.1,181.5,182.2,175.7,7.17K,-2.60%
"Nov 14, 2023",180.8,177,181.9,175,8.51K,0.0247
"Nov 13, 2023",176.45,178.85,179.15,175.85,9.70K,-1.23%
"Nov 12, 2023",178.65,172.6,179.45,171.3,12.84K,0.0238
"Nov 09, 2023",174.5,178,178.75,172.95,24.19K,-2.40%
"Nov 08, 2023",178.8,176.1,179,175.5,26.46K,0.0255
"Nov 07, 2023",174.35,170.85,176,170.85,32.14K,0.0211
"Nov 06, 2023",170.75,173.4,173.65,169.15,28.86K,-1.70%
"Nov 05, 2023",173.7,170.25,174.1,168.45,23.51K,0.0164
"Nov 02, 2023",170.9,166.5,171.35,166.1,22.29K,0.0336
"Nov 01, 2023",165.35,160.7,166.8,160,24.72K,0.0347
"Oct 31, 2023",159.8,166,167.15,158.75,29.12K,-4.48%
"Oct 30, 2023",167.3,159.05,167.55,158.8,29.75K,0.0515
"Oct 29, 2023",159.1,160.05,161.15,158.6,19.46K,-1.15%
"Oct 26, 2023",160.95,161.2,163.25,160.2,13.03K,-0.16%
"Oct 25, 2023",161.2,161.55,163.6,160.3,17.69K,-0.68%
"Oct 24, 2023",162.3,167.75,169.05,160.95,30.19K,-3.48%
"Oct 23, 2023",168.15,165.6,168.85,165.05,21.86K,0.0139
"Oct 22, 2023",165.85,163.25,167,163.25,24.14K,0.0036
"Oct 19, 2023",165.25,163.4,166.8,162.25,37.01K,0.0079
"Oct 18, 2023",163.95,158.15,164.4,158.15,36.62K,0.0373
"Oct 17, 2023",158.05,157.15,159.5,156.65,25.58K,0.0064
"Oct 16, 2023",157.05,154,157.95,152.45,27.00K,0.0188
"Oct 15, 2023",154.15,154.9,156.15,152.1,24.90K,-0.48%
"Oct 12, 2023",154.9,149.3,155.65,149.2,35.24K,0.0375
"Oct 11, 2023",149.3,147.85,149.9,147.05,19.48K,0.0108
"Oct 10, 2023",147.7,147.65,149.4,146.1,16.44K,0.0014
"Oct 09, 2023",147.5,145.7,148.4,143.7,26.19K,0.0099
"Oct 08, 2023",146.05,146.05,147.9,144.8,15.68K,0.00%
"Oct 05, 2023",146.05,145.4,146.8,144.45,16.60K,0.0045
"Oct 04, 2023",145.4,146.05,147.5,145,13.75K,-0.65%
"Oct 03, 2023",146.35,147.9,148.95,145.9,15.83K,-1.61%
"Oct 02, 2023",148.75,149.15,149.9,147.25,13.62K,-0.23%
"Oct 01, 2023",149.1,146,151.4,145.8,23.83K,0.0202
"Sep 28, 2023",146.15,147,147.5,144.95,21.78K,-0.71%
"Sep 27, 2023",147.2,148.95,150.25,146.45,20.34K,-1.37%
"Sep 26, 2023",149.25,150.45,150.5,147.55,20.45K,-1.06%
"Sep 25, 2023",150.85,148.8,152.15,148.45,19.69K,0.0138
"Sep 24, 2023",148.8,150.3,152.1,148.15,20.31K,-1.55%
"Sep 21, 2023",151.15,154.75,155.7,150.05,19.80K,-2.39%
"Sep 20, 2023",154.85,158,158.75,154.5,17.11K,-2.12%
"Sep 19, 2023",158.2,160.4,161.65,157.65,17.55K,-5.55%
"Sep 18, 2023",167.5,162.5,173.5,162.5,0.00K,0.0555
"Sep 17, 2023",158.7,158.15,161.1,158.15,23.43K,0.0028
"Sep 14, 2023",158.25,153.9,160.5,153.35,27.89K,0.0336
"Sep 13, 2023",153.1,152,154.8,149.3,19.38K,0.0136
"Sep 12, 2023",151.05,151.55,151.55,151.55,0.06K,0.0023
"Sep 11, 2023",150.7,151.55,151.55,148.35,0.01K,-0.56%
"Sep 10, 2023",151.55,148.05,153.45,147.3,23.13K,0.0362
"Sep 07, 2023",146.25,150.9,151.15,148.05,14.75K,-0.78%
"Sep 06, 2023",147.4,153.15,153.2,149.5,14.46K,-2.87%
"Sep 05, 2023",151.75,153.2,155,151.05,16.41K,0.0023
"Sep 04, 2023",151.4,147.95,152.5,147.95,0.03K,0.003
"Aug 31, 2023",150.95,151.5,151.5,151.1,0.01K,-1.15%
"Aug 30, 2023",152.7,153.65,153.65,153,0.06K,-0.42%
"Aug 29, 2023",153.35,150,153.7,150,0.02K,0.0132
"Aug 28, 2023",151.35,152.35,153.05,149.85,0.04K,-0.30%
"Aug 27, 2023",151.8,152.95,153.25,152.5,0.01K,0.0003
"Aug 24, 2023",151.75,154,154,154,0.00K,-0.82%
"Aug 23, 2023",153,153.8,154.25,151.4,0.05K,0.0003
"Aug 22, 2023",152.95,148.65,152.85,148.1,1.09K,0.0433
"Aug 21, 2023",146.6,147.9,150.4,146.1,4.50K,-0.64%
"Aug 20, 2023",147.55,147.6,151.8,147.15,6.15K,0.0007
"Aug 17, 2023",147.45,146.95,149.4,145.05,4.87K,0.0031
"Aug 16, 2023",147,148.95,150.05,145.8,5.00K,-1.28%
"Aug 15, 2023",148.9,149.75,150.75,147.75,8.37K,-0.23%
"Aug 14, 2023",149.25,150.85,151.3,148,11.86K,-1.22%
"Aug 13, 2023",151.1,157.5,158.3,150.7,21.14K,-4.25%
"Aug 10, 2023",157.8,159.05,159.45,156,27.62K,-1.31%
"Aug 09, 2023",159.9,160.55,163.6,159.2,28.31K,-0.53%
"Aug 08, 2023",160.75,161.85,162.4,160,26.49K,-0.37%
"Aug 07, 2023",161.35,162.15,162.9,159.55,25.99K,-1.59%
"Aug 06, 2023",163.95,161.15,164.9,160.05,27.41K,0.0161
"Aug 03, 2023",161.35,164,165,161,20.24K,-2.06%
"Aug 02, 2023",164.75,166.35,168.3,164,17.79K,-1.32%
"Aug 01, 2023",166.95,164.55,167.95,162.75,22.31K,0.0146
"Jul 31, 2023",164.55,165.1,167.4,162.05,20.15K,-0.06%
"Jul 30, 2023",164.65,157.9,166,157.9,23.12K,0.0427
"Jul 27, 2023",157.9,161.3,161.9,157.35,14.78K,-2.20%
"Jul 26, 2023",161.45,164.4,164.9,160.05,16.87K,-1.04%
"Jul 25, 2023",163.15,161.3,163.85,159.25,15.70K,0.008
"Jul 24, 2023",161.85,162.4,163.85,161.3,15.91K,-0.71%
"Jul 23, 2023",163,161.15,165.45,161.05,20.33K,0.0071
"Jul 20, 2023",161.85,158.55,162.1,156.5,18.70K,0.024
"Jul 19, 2023",158.05,155.5,160,155.25,19.01K,0.0367
"Jul 18, 2023",152.45,152.35,152.4,152.3,0.00K,-1.80%
"Jul 17, 2023",155.25,155.55,157.95,155.05,21.81K,0.0032
"Jul 16, 2023",154.75,158.05,158.05,155.5,0.00K,-4.45%
"Jul 13, 2023",161.95,162.45,162.45,161.75,0.08K,0.0163
"Jul 12, 2023",159.35,160.7,160.7,160.7,0.00K,0.0038
"Jul 11, 2023",158.75,158.1,159.25,156.45,14.07K,-0.35%
"Jul 10, 2023",159.3,159.15,159.5,158,0.05K,-1.51%
"Jul 09, 2023",161.75,163.55,163.65,163.55,0.00K,-0.64%
"Jul 06, 2023",162.8,165,165,165,0.00K,0.0028
"Jul 05, 2023",162.35,159.95,165.3,159.25,0.05K,0.0081
"Jul 04, 2023",161.05,162.25,162.25,162.25,0.01K,-0.89%
"Jul 02, 2023",162.5,165.2,165.2,165.2,0.00K,0.0093
"Jun 29, 2023",161,165.9,165.9,165.75,0.00K,-1.59%
"Jun 28, 2023",163.6,165,165.55,162.1,0.01K,-1.24%
"Jun 27, 2023",165.65,170.45,170.8,165,0.05K,-2.24%
"Jun 26, 2023",169.45,168.35,169.35,165.55,0.02K,0.0089
"Jun 25, 2023",167.95,168,169.15,166.5,0.02K,-0.06%
"Jun 22, 2023",168.05,167.9,168.9,166.5,0.11K,-2.13%
"Jun 21, 2023",171.7,173.7,173.95,169.6,0.07K,-0.17%
"Jun 20, 2023",172,178.9,178.95,168.95,2.93K,-3.07%
"Jun 19, 2023",177.45,185.1,185.75,176.4,11.00K,-4.03%
"Jun 15, 2023",184.9,187.7,188.3,184.3,8.15K,-1.12%
"Jun 14, 2023",187,184.75,188.05,184.7,9.26K,0.0141
"Jun 13, 2023",184.4,182.55,184.75,181.25,7.87K,0.009
"Jun 12, 2023",182.75,185.7,186.75,181.9,12.75K,-1.51%
"Jun 11, 2023",185.55,190.25,192.4,185.05,18.58K,-2.68%
"Jun 08, 2023",190.65,196.6,196.6,188.8,38.48K,-2.16%
"Jun 07, 2023",194.85,186.2,196.15,184.6,34.15K,0.051
"Jun 06, 2023",185.4,183.6,186.6,182.65,28.69K,0.0153
"Jun 05, 2023",182.6,183.1,184.9,181.55,19.02K,-0.27%
"Jun 04, 2023",183.1,179.95,183.7,179.35,18.23K,0.0155
"Jun 01, 2023",180.3,183.3,187.8,179.05,27.03K,-1.50%
"May 31, 2023",183.05,179.65,184.7,179.5,22.53K,0.0246
"May 30, 2023",178.65,177.15,179.8,175.55,24.94K,0.0088
"May 29, 2023",177.1,180.05,181.75,175.9,27.46K,-2.48%
"May 25, 2023",181.6,182.8,184.8,180.3,19.57K,-0.60%
"May 24, 2023",182.7,188.2,188.4,181.65,24.48K,-2.82%
"May 23, 2023",188,188.05,189.4,186.6,13.61K,0.0029
"May 22, 2023",187.45,189.25,190.3,185.7,16.81K,-0.92%
"May 21, 2023",189.2,191,193.75,186.55,22.89K,-1.46%
"May 18, 2023",192,186.2,194.4,186.2,23.73K,0.0081
"May 17, 2023",190.45,186.15,187,183.35,12.73K,0.0032
"May 16, 2023",189.85,189.5,189.5,189.5,0.00K,-0.26%
"May 15, 2023",190.35,196,196.55,196,0.01K,-1.40%
"May 14, 2023",193.05,192.45,192.45,192.45,0.01K,0.0379
"May 11, 2023",186,185,186.75,185,0.03K,0.0011
"May 10, 2023",185.8,186,186.1,185.5,0.01K,-0.88%
"May 09, 2023",187.45,189.3,189.3,189.3,0.00K,-0.29%
"May 08, 2023",188,187.7,189.3,184.55,0.02K,0.0059
"May 07, 2023",186.9,188.05,189.95,183.45,15.39K,-2.15%
"May 04, 2023",191,183.7,189.25,182.8,23.96K,0.0247
"May 03, 2023",186.4,188,188,184.5,0.14K,-1.48%
"May 02, 2023",189.2,188.1,188.1,185.85,0.14K,-0.76%
"May 01, 2023",190.65,188.1,188.75,187.9,0.02K,0.0074
"Apr 30, 2023",189.25,188.25,188.25,187.1,0.01K,-0.32%
"Apr 27, 2023",189.85,189.5,190.35,189.1,0.04K,-1.17%
"Apr 26, 2023",192.1,192.8,192.8,192.1,0.02K,-1.91%
"Apr 25, 2023",195.85,194.15,195.85,194.15,0.01K,0.0177
"Apr 24, 2023",192.45,191,192.25,191,0.01K,-2.19%
"Apr 23, 2023",196.75,196.35,196.85,195,0.01K,0.0131
"Apr 20, 2023",194.2,197.15,197.15,193.5,0.08K,-0.87%
"Apr 19, 2023",195.9,199.2,199.65,194.75,0.23K,-3.28%
"Apr 18, 2023",202.55,203.5,207.45,199.75,6.87K,-1.32%
"Apr 17, 2023",205.25,201,206.95,198.35,9.42K,0.0211
"Apr 16, 2023",201,194,201.5,193.5,9.53K,0.0393
"Apr 13, 2023",193.4,195.65,199.65,192.85,11.46K,-1.38%
"Apr 12, 2023",196.1,190,199.7,189.35,35.20K,0.0307
"Apr 11, 2023",190.25,188.9,191.35,187.6,27.16K,-0.13%
"Apr 10, 2023",190.5,183.45,191.2,183,33.56K,0.0433
"Apr 09, 2023",182.6,183.6,186.8,181.6,22.69K,-0.54%
"Apr 05, 2023",183.6,179.55,184.55,177.95,27.06K,0.0192
"Apr 04, 2023",180.15,175.2,181.5,175.2,23.60K,0.0303
"Apr 03, 2023",174.85,176.1,177.45,173.1,17.85K,-0.79%
"Apr 02, 2023",176.25,171.3,178.35,171.25,25.79K,0.0337
"Mar 30, 2023",170.5,170,171.7,166.15,32.08K,0.0041
"Mar 29, 2023",169.8,171,172.5,168.15,27.28K,0.0006
"Mar 28, 2023",169.7,174.7,175.25,168.6,25.13K,-2.33%
"Mar 27, 2023",173.75,177.5,178.7,173.5,19.19K,-1.78%
"Mar 26, 2023",176.9,178.5,184,175.95,23.74K,-1.31%
"Mar 23, 2023",179.25,174.8,179.85,172.6,18.11K,0.0284
"Mar 22, 2023",174.3,178.75,179.4,173.9,14.59K,-2.08%
"Mar 21, 2023",178,179.55,181.1,176.7,13.55K,-4.66%
"Mar 20, 2023",186.7,179.35,182.85,178.85,13.97K,0.0097
"Mar 19, 2023",184.9,174.6,178.8,173.35,13.59K,0.0104
"Mar 16, 2023",183,181.65,182.25,181.65,0.07K,-1.35%
"Mar 15, 2023",185.5,174.3,181.4,173.5,22.99K,0.0418
"Mar 14, 2023",178.05,177.25,177.25,177.25,0.00K,-1.58%
"Mar 13, 2023",180.9,178.7,179.05,175.1,12.79K,-1.26%
"Mar 12, 2023",183.2,175,183.7,175,0.00K,0.0052
"Mar 09, 2023",182.25,180.05,182.35,180.05,0.03K,0.0239
"Mar 08, 2023",178,178.15,182.1,177,0.05K,-0.86%
"Mar 07, 2023",179.55,180,180,179,0.01K,-2.71%
"Mar 06, 2023",184.55,182.15,182.15,182.15,0.00K,0.0115
"Mar 05, 2023",182.45,180.8,182,180.6,0.01K,0.0091
"Mar 02, 2023",180.8,181,181.7,180.4,0.01K,-1.71%
"Mar 01, 2023",183.95,185,186.4,180.55,18.46K,-0.73%
"Feb 28, 2023",185.3,188,188,185,0.05K,-2.68%
"Feb 27, 2023",190.4,186.8,189.85,184.9,17.47K,-0.16%
"Feb 26, 2023",190.7,189.9,189.9,189.75,0.00K,-0.26%
"Feb 23, 2023",191.2,192.9,192.9,190.25,0.01K,-1.27%
"Feb 22, 2023",193.65,197.7,197.7,193.25,0.04K,-2.93%
"Feb 21, 2023",199.5,194.55,199.75,194.55,0.04K,0.026
"Feb 20, 2023",194.45,188.3,197.3,188.3,0.12K,0.0305
"Feb 16, 2023",188.7,180.85,189.85,179.95,0.32K,0.0443
"Feb 15, 2023",180.7,178.25,183.25,176.75,4.54K,0.0218
"Feb 14, 2023",176.85,181.9,182.75,175.25,10.89K,-3.65%
"Feb 13, 2023",183.55,178,184,177.55,13.23K,0.0367
"Feb 12, 2023",177.05,174.5,179.75,174,18.23K,0.0132
"Feb 09, 2023",174.75,174.7,177.2,174,26.85K,0.0063
"Feb 08, 2023",173.65,175.9,177.05,172.05,25.23K,-1.11%
"Feb 07, 2023",175.6,177,177.6,174.3,28.50K,-0.82%
"Feb 06, 2023",177.05,177.15,178.5,172.95,37.40K,0.0077
"Feb 05, 2023",175.7,172.55,176.95,171.25,24.70K,0.0168
"Feb 02, 2023",172.8,176.4,177.9,172.05,27.22K,-2.87%
"Feb 01, 2023",177.9,177,181.35,176.55,20.53K,0.0114
"Jan 31, 2023",175.9,180.3,184.2,175.55,31.81K,-3.22%
"Jan 30, 2023",181.75,170.05,182.8,169.85,46.69K,0.0666
"Jan 29, 2023",170.4,168,171.65,167.05,25.65K,0.0029
"Jan 26, 2023",169.9,167.1,170.15,165.95,26.80K,0.0165
"Jan 25, 2023",167.15,162.65,167.75,162.45,24.86K,0.0289
"Jan 24, 2023",162.45,160,163.3,159.6,18.75K,0.0163
"Jan 23, 2023",159.85,158.95,161.25,156.85,21.92K,0.0082
"Jan 22, 2023",158.55,154.75,159.95,154.5,25.54K,0.0242
"Jan 19, 2023",154.8,154.45,155.4,151.85,12.91K,0.0013
"Jan 18, 2023",154.6,154.5,157.55,153.6,18.13K,-0.26%
"Jan 17, 2023",155,151.55,156.05,151.5,18.10K,0.0258
"Jan 16, 2023",151.1,150.5,152.1,148.5,16.46K,-0.40%
"Jan 12, 2023",151.7,150.55,152.35,147,23.81K,0.0154
"Jan 11, 2023",149.4,143.9,150.75,143.9,30.55K,0.0382
"Jan 10, 2023",143.9,149.8,150.5,142.05,37.94K,-4.64%
"Jan 09, 2023",150.9,157,158.05,149.1,36.50K,-4.52%
"Jan 08, 2023",158.05,158.3,161.2,156.4,23.89K,-0.16%
"Jan 05, 2023",158.3,160.1,162.55,157.15,16.25K,-1.40%
"Jan 04, 2023",160.55,162.25,163.15,159.5,15.42K,-0.46%
"Jan 03, 2023",161.3,167.25,167.95,159.25,21.95K,-3.01%
"Jan 02, 2023",166.3,166.45,171.15,164.65,18.91K,-0.60%
"Dec 29, 2022",167.3,169.1,172.45,165.15,13.42K,-1.62%
"Dec 28, 2022",170.05,172.95,173.4,169.25,10.62K,-2.02%
"Dec 27, 2022",173.55,166.75,174.95,166.7,16.43K,0.0395
"Dec 26, 2022",166.95,171,171,165.7,10.95K,-2.94%
"Dec 22, 2022",172,168.9,172.65,168.8,9.14K,0.0184
"Dec 21, 2022",168.9,169.1,170.2,165.15,10.47K,-0.27%
"Dec 20, 2022",169.35,168.5,170.35,167.1,10.14K,0.0092
"Dec 19, 2022",167.8,164.5,169.65,164.2,12.86K,0.0229
"Dec 18, 2022",164.05,163.95,167.1,162.55,12.46K,-0.06%
"Dec 15, 2022",164.15,171.65,173.8,163.8,18.95K,-4.29%
"Dec 14, 2022",171.5,166.7,173.1,166.25,16.99K,0.019
"Dec 13, 2022",168.3,167,169.6,166.5,0.10K,0.0069
"Dec 12, 2022",167.15,165.5,165.5,165,0.03K,0.0048
"Dec 11, 2022",166.35,156.3,156.5,155,0.02K,0.0545
"Dec 08, 2022",157.75,158.5,158.5,157,0.04K,0.0054
"Dec 07, 2022",156.9,158.5,158.5,157,0.01K,-0.51%
"Dec 06, 2022",157.7,163.85,164.85,159.05,19.57K,-2.08%
"Dec 05, 2022",161.05,161.1,161.1,161.1,0.00K,0.0056
"Dec 04, 2022",160.15,162.25,165.1,162,12.50K,0.00%
"Dec 01, 2022",160.15,159.65,161.45,159.65,0.01K,-1.96%
"Nov 30, 2022",163.35,170,170.45,170,0.00K,-2.59%
"Nov 29, 2022",167.7,167.5,167.5,167.5,0.00K,0.006
"Nov 28, 2022",166.7,161.95,169.5,161.5,15.17K,0.0377
"Nov 27, 2022",160.65,162.9,162.9,160.85,0.00K,-1.77%
"Nov 24, 2022",163.55,162.3,162.3,162.3,0.01K,0.0215
"Nov 22, 2022",160.1,163.85,163.85,160.2,0.02K,-1.05%
"Nov 21, 2022",161.8,160,162.25,160,0.01K,0.0273
"Nov 20, 2022",157.5,151.5,159,150.45,0.30K,0.041
"Nov 17, 2022",151.3,153.65,157.05,150.75,4.25K,-0.92%
"Nov 16, 2022",152.7,154.9,156.15,150.6,6.07K,-1.77%
"Nov 15, 2022",155.45,158.9,159.55,154.3,7.03K,-0.83%
"Nov 14, 2022",156.75,166.15,167.7,154.1,12.89K,-5.69%
"Nov 13, 2022",166.2,168.7,168.7,163.4,11.89K,-2.29%
"Nov 10, 2022",170.1,170.25,173.7,168.7,18.69K,-0.53%
"Nov 09, 2022",171,165.3,171.7,162.9,23.68K,0.0354
"Nov 08, 2022",165.15,164.9,168.45,163.65,22.94K,-0.78%
"Nov 07, 2022",166.45,171.5,172.55,163.8,27.56K,-2.40%
"Nov 06, 2022",170.55,175.7,177.55,166.45,27.61K,-2.96%
"Nov 03, 2022",175.75,174.4,177.9,173.45,15.42K,0.0206
"Nov 02, 2022",172.2,181.15,181.25,170,23.04K,-5.46%
"Nov 01, 2022",182.15,175.2,183.4,175.2,19.83K,0.0432
"Oct 31, 2022",174.6,177.85,180.6,173.8,21.71K,-1.74%
"Oct 30, 2022",177.7,171.7,178.55,171.55,26.37K,0.0465
"Oct 27, 2022",169.8,178.85,179.65,167.75,30.55K,-5.06%
"Oct 26, 2022",178.85,181,183.6,178.1,19.57K,-0.50%
"Oct 25, 2022",179.75,184.9,185.75,179.05,25.20K,-3.26%
"Oct 24, 2022",185.8,191.1,192.8,183.3,28.94K,-2.42%
"Oct 23, 2022",190.4,190.05,194.15,188.9,18.49K,-0.26%
"Oct 20, 2022",190.9,188.7,192.55,186.2,17.81K,-0.08%
"Oct 19, 2022",191.05,190.15,194.6,188.2,20.02K,-0.65%
"Oct 18, 2022",192.3,195.1,196.45,190.15,19.27K,-1.44%
"Oct 17, 2022",195.1,196.3,197.8,193.2,18.45K,-0.23%
"Oct 16, 2022",195.55,197.5,199.7,194.05,21.87K,-0.58%
"Oct 13, 2022",196.7,203,204.6,195.65,31.21K,-2.70%
"Oct 12, 2022",202.15,209.7,210.6,201.1,34.57K,-3.62%
"Oct 11, 2022",209.75,217.4,218.85,209.2,31.78K,-3.72%
"Oct 10, 2022",217.85,216.9,220.9,215.15,15.73K,0.0018
"Oct 09, 2022",217.45,217,219.35,215.35,11.67K,-0.30%
"Oct 06, 2022",218.1,217.95,221.05,213.8,21.18K,0.0018
"Oct 05, 2022",217.7,226.25,226.45,216.75,22.41K,-3.09%
"Oct 04, 2022",224.65,219.65,226.3,218.1,23.92K,0.0244
"Oct 03, 2022",219.3,216.55,222.45,216.3,20.04K,0.0165
"Oct 02, 2022",215.75,220.8,222.65,214.75,22.48K,-2.62%
"Sep 29, 2022",221.55,225.2,226.45,220.9,16.73K,-1.84%
"Sep 28, 2022",225.7,228.2,229.75,224.2,14.50K,-1.31%
"Sep 27, 2022",228.7,223.95,229.4,220.35,17.98K,0.0194
"Sep 26, 2022",224.35,225,229.05,222.9,15.72K,0.0025
"Sep 25, 2022",223.8,218.5,232.05,218.4,23.52K,0.0152
"Sep 22, 2022",220.45,222.4,223.4,217.25,12.36K,-1.39%
"Sep 21, 2022",223.55,220.75,224.4,218.1,11.42K,0.0102
"Sep 20, 2022",221.3,224.7,226.4,219.4,11.66K,-2.98%
"Sep 19, 2022",228.1,222.4,226.45,220.25,16.87K,0.0181
"Sep 18, 2022",224.05,214.5,222.1,210.85,16.04K,0.0275
"Sep 15, 2022",218.05,216.15,216.15,216.15,0.00K,-0.50%
"Sep 14, 2022",219.15,219.2,219.2,219.2,0.00K,0.0071
"Sep 13, 2022",217.6,225.85,225.85,215.75,0.03K,-2.84%
"Sep 12, 2022",223.95,225.85,225.85,221.5,0.01K,-1.67%
"Sep 11, 2022",227.75,227.5,228.15,227.5,0.02K,-1.62%
"Sep 08, 2022",231.5,229.7,229.7,229.7,0.01K,0.025
"Sep 07, 2022",225.85,227.5,227.5,225.6,0.00K,-0.46%
"Sep 06, 2022",226.9,229.3,229.5,227.2,0.01K,-2.99%
"Sep 05, 2022",233.9,232,234,232,0.00K,0.0054
"Sep 01, 2022",232.65,236.9,237.55,232.3,0.01K,-1.57%
"Aug 31, 2022",236.35,238.55,238.55,236.6,0.01K,-1.15%
"Aug 30, 2022",239.1,240.75,240.75,239.65,0.01K,-0.02%
"Aug 29, 2022",239.15,238.75,241.75,238.75,0.01K,-0.56%
"Aug 28, 2022",240.5,240.55,240.55,240.55,0.00K,-0.62%
"Aug 25, 2022",242,242.6,245.25,242.45,0.02K,-0.58%
"Aug 24, 2022",243.4,242.65,246.9,241.95,0.02K,0.0019
"Aug 23, 2022",242.95,234.35,242.35,234.35,0.06K,0.0533
"Aug 22, 2022",230.65,224.55,231.6,222.8,0.24K,0.0283
"Aug 21, 2022",224.3,215,225.6,213.55,10.08K,0.0387
"Aug 18, 2022",215.95,215.2,217.55,212.6,9.62K,0.0058
"Aug 17, 2022",214.7,218,220.7,214.35,7.49K,-1.26%
"Aug 16, 2022",217.45,219,222.1,215.9,5.87K,-0.87%
"Aug 15, 2022",219.35,224.9,225,218.7,11.23K,-2.73%
"Aug 14, 2022",225.5,226.05,226.25,221.65,10.18K,-0.49%
"Aug 11, 2022",226.6,223.85,227.7,221.25,16.57K,0.0118
