Date,Price,Open,High,Low,Vol.,Change %
"Jan 06, 2025",320.5,320.65,323.1,317.75,12.72K,0.006
"Jan 05, 2025",318.6,318.65,328.6,317.05,15.99K,-0.02%
"Jan 02, 2025",318.65,324.75,326.25,317.65,11.89K,-2.51%
"Jan 01, 2025",326.85,321.55,329.8,319.75,14.74K,0.0222
"Dec 30, 2024",319.75,318.85,321.3,312.15,14.69K,-0.39%
"Dec 29, 2024",321,322.15,323.85,316.8,12.65K,-0.51%
"Dec 26, 2024",322.65,323.65,325.5,318.4,11.07K,-0.62%
"Dec 25, 2024",324.65,330,331.5,322.35,7.16K,-1.20%
"Dec 23, 2024",328.6,327.05,329.55,322.05,7.21K,0.0041
"Dec 22, 2024",327.25,325,329.75,320.85,10.32K,0.0069
"Dec 19, 2024",325,325.5,329.5,319,15.02K,0.0039
"Dec 18, 2024",323.75,332.65,341.8,321.5,26.44K,-2.82%
"Dec 17, 2024",333.15,333.15,333.15,333.15,17.91K,0.0237
"Dec 16, 2024",325.45,322.6,322.6,322.6,0.00K,-1.00%
"Dec 15, 2024",328.75,328.25,328.25,328.25,0.00K,0.0246
"Dec 12, 2024",320.85,320.85,320.85,320.85,15.43K,-0.54%
"Dec 11, 2024",322.6,322.6,322.6,322.6,17.45K,0.0028
"Dec 10, 2024",321.7,321.7,321.7,321.7,23.42K,-4.16%
"Dec 09, 2024",335.65,343.85,347.35,343.7,0.02K,0.0101
"Dec 08, 2024",332.3,332.3,332.3,332.3,27.65K,-0.06%
"Dec 05, 2024",332.5,315.95,331.7,313.7,26.34K,0.053
"Dec 04, 2024",315.75,310.75,312.45,307.85,0.00K,0.032
"Dec 03, 2024",305.95,306.6,306.6,305.8,0.02K,0.0277
"Dec 02, 2024",297.7,298.35,303.45,293.75,0.05K,-0.50%
"Dec 01, 2024",299.2,318.1,318.1,297.6,0.03K,-6.98%
"Nov 28, 2024",321.65,334.5,335,324.3,1.14K,-1.38%
"Nov 26, 2024",326.15,320,329.5,319.65,0.03K,0.0449
"Nov 25, 2024",312.15,310.05,313,310.05,0.02K,0.0123
"Nov 24, 2024",308.35,308.3,312.8,307.25,0.08K,0.0102
"Nov 21, 2024",305.25,296.55,306.25,296.55,0.04K,0.0221
"Nov 20, 2024",298.65,300,300,295.75,0.09K,0.0113
"Nov 19, 2024",295.3,288,296.95,286.3,0.25K,0.0556
"Nov 18, 2024",279.75,281.7,287.2,277.75,6.89K,-0.36%
"Nov 17, 2024",280.75,284.25,290.2,278.35,7.71K,-0.37%
"Nov 14, 2024",281.8,274.95,283.9,274.95,10.32K,0.0102
"Nov 13, 2024",278.95,271.65,285.05,270.95,9.89K,0.0269
"Nov 12, 2024",271.65,262.9,272.95,260.75,16.03K,0.0307
"Nov 11, 2024",263.55,256.75,266.4,256.7,23.93K,0.0287
"Nov 10, 2024",256.2,253.35,258.7,253.35,27.43K,0.0112
"Nov 07, 2024",253.35,258,259.95,252.75,43.85K,-2.71%
"Nov 06, 2024",260.4,250.15,261.4,249.5,38.86K,0.0468
"Nov 05, 2024",248.75,248.6,250.8,244.15,24.33K,-0.56%
"Nov 04, 2024",250.15,246.55,252.25,246,28.77K,0.0171
"Nov 03, 2024",245.95,243.85,246.55,242.1,24.03K,0.0123
"Oct 31, 2024",242.95,246.3,249.25,241.3,23.12K,-1.20%
"Oct 30, 2024",245.9,249,249.5,244.35,17.38K,-1.48%
"Oct 29, 2024",249.6,248.7,250.55,245.15,16.87K,0.006
"Oct 28, 2024",248.1,253.2,254.25,247.85,13.58K,-1.68%
"Oct 27, 2024",252.35,247.25,255.65,246.25,17.94K,0.0159
"Oct 24, 2024",248.4,245.85,248.75,244.4,15.94K,0.012
"Oct 23, 2024",245.45,251.9,256.1,244.1,21.96K,-2.73%
"Oct 22, 2024",252.35,249.25,253.85,247.4,15.43K,0.01
"Oct 21, 2024",249.85,252.5,255.7,248.55,17.53K,-0.73%
"Oct 20, 2024",251.7,253.5,254.05,248.05,16.92K,-2.18%
"Oct 17, 2024",257.3,254,259.1,253.1,11.06K,0.0084
"Oct 16, 2024",255.15,257.1,261,253.4,13.29K,-1.10%
"Oct 15, 2024",258,258,259.55,254.8,13.09K,0.0051
"Oct 14, 2024",256.7,261.7,264.15,255.35,14.78K,-2.04%
"Oct 13, 2024",262.05,251.05,262.65,250.3,16.92K,0.0397
"Oct 10, 2024",252.05,254.25,256.45,251,13.85K,-1.06%
"Oct 09, 2024",254.75,248.05,257.1,247.4,15.93K,0.0188
"Oct 08, 2024",250.05,247.75,252.9,246.6,14.32K,0.0075
"Oct 07, 2024",248.2,248.05,248.9,244.05,16.06K,0.0145
"Oct 06, 2024",244.65,252.85,253.65,243.35,26.38K,-4.93%
"Oct 03, 2024",257.35,253.85,257.75,252,14.34K,0.021
"Oct 02, 2024",252.05,257.95,258.5,251.4,16.85K,-1.73%
"Oct 01, 2024",256.5,265.5,267.5,255.75,24.17K,-2.90%
